"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"VSTR_TOOLTIP_KICK_REASON","Please type kick reason or leave empty!","Please type kick reason or leave empty!","Please type kick reason or leave empty!","Please type kick reason or leave empty!","Укажите причину кика!","Please type kick reason or leave empty!","Please type kick reason or leave empty!","Please type kick reason or leave empty!","Please type kick reason or leave empty!","Veuillez écrire la raison ou laisser vide !","Please type kick reason or leave empty!","Please type kick reason or leave empty!","Please type kick reason or leave empty!","请输入踢出玩家原因或留空！"
"VSTR_TOOLTIP_TITLE_KILL_PLAYERS","KILL","KILL","KILL","KILL","УБИТЬ","KILL","KILL","KILL","KILL","TUER","KILL","KILL","KILL","赐死"
"VSTR_TOOLTIP_KILL_PLAYERS","Are you sure you wish to kill selected players?","Are you sure you wish to kill selected players?","Are you sure you wish to kill selected players?","Are you sure you wish to kill selected players?","Вы уверены, что хотите убить выбранных игроков?","Are you sure you wish to kill selected players?","Are you sure you wish to kill selected players?","Are you sure you wish to kill selected players?","Are you sure you wish to kill selected players?","Êtes-vous sûr de vouloir tuer les joueurs sélectionnés ?","Are you sure you wish to kill selected players?","Are you sure you wish to kill selected players?","Are you sure you wish to kill selected players?","您确定要杀死选定的玩家吗？"
"VSTR_TOOLTIP_TITLE_SEND_MSG","Send Message","Send Message","Send Message","Send Message","Отправить сообщение","Send Message","Send Message","Send Message","Send Message","Envoyer un message","Send Message","Send Message","Send Message","发送消息"
"VSTR_TOOLTIP_SEND_MSG","Please type the message you wish to send!","Please type the message you wish to send!","Please type the message you wish to send!","Please type the message you wish to send!","Введите текст сообщения!","Please type the message you wish to send!","Please type the message you wish to send!","Please type the message you wish to send!","Please type the message you wish to send!","Veuillez taper le message que vous souhaitez envoyer !","Please type the message you wish to send!","Please type the message you wish to send!","Please type the message you wish to send!","请输入您要发送的消息！"
"VSTR_TOOLTIP_TITLE_BAN_PLAYER","Ban Player(s)","Ban Player(s)","Ban Player(s)","Ban Player(s)","Забанить игроков","Ban Player(s)","Ban Player(s)","Ban Player(s)","Ban Player(s)","Bannir le joueur","Ban Player(s)","Ban Player(s)","Ban Player(s)","封禁玩家"
"VSTR_TOOLTIP_TITLE_RET_PLAYER","Return Player","Return Player","Return Player","Return Player","Вернуть игрока","Return Player","Return Player","Return Player","Return Player","Ramener le joueur","Return Player","Return Player","Return Player","返回原位"
"VSTR_TOOLTIP_BAN_PLAYER","Are you sure you wish to ban selected players? Note: you can edit the ban duration after within the Bans Manager Menu","Are you sure you wish to ban selected players? Note: you can edit the ban duration after within the Bans Manager Menu","Are you sure you wish to ban selected players? Note: you can edit the ban duration after within the Bans Manager Menu","Are you sure you wish to ban selected players? Note: you can edit the ban duration after within the Bans Manager Menu","Вы уверены, что хотите заблокировать выбранных игроков? Примечание: вы можете отредактировать продолжительность бана позже, в меню менеджера банов.","Are you sure you wish to ban selected players? Note: you can edit the ban duration after within the Bans Manager Menu","Are you sure you wish to ban selected players? Note: you can edit the ban duration after within the Bans Manager Menu","Are you sure you wish to ban selected players? Note: you can edit the ban duration after within the Bans Manager Menu","Are you sure you wish to ban selected players? Note: you can edit the ban duration after within the Bans Manager Menu","Êtes-vous sûr de vouloir bannir les joueurs sélectionnés ? Remarque : vous pouvez modifier la durée du bannissement ultérieurement dans le menu Gestion des Bannissements","Are you sure you wish to ban selected players? Note: you can edit the ban duration after within the Bans Manager Menu","Are you sure you wish to ban selected players? Note: you can edit the ban duration after within the Bans Manager Menu","Are you sure you wish to ban selected players? Note: you can edit the ban duration after within the Bans Manager Menu","您确定要封禁选定的玩家吗？ 注意：您可以在“封禁管理器”菜单中编辑封禁持续时间"
"VSTR_TOOLTIP_RET_PLAYER","Are you sure you wish to teleport back selected players?","Are you sure you wish to teleport back selected players?","Are you sure you wish to teleport back selected players?","Are you sure you wish to teleport back selected players?","Вы уверены, что хотите телепортировать выбранных игроков обратно?","Are you sure you wish to teleport back selected players?","Are you sure you wish to teleport back selected players?","Are you sure you wish to teleport back selected players?","Are you sure you wish to teleport back selected players?","Êtes-vous sûr de vouloir téléporter les joueurs sélectionnés ?","Are you sure you wish to teleport back selected players?","Are you sure you wish to teleport back selected players?","Are you sure you wish to teleport back selected players?","您确定要传送回选定的玩家吗？"
"VSTR_NOTIFY_APPLY_HEALTH","Applying new Health value on","Applying new Health value on","Applying new Health value on","Applying new Health value on","Установить значение ХП на ","Applying new Health value on","Applying new Health value on","Applying new Health value on","Applying new Health value on","Application nouvelle valeur santé sur","Applying new Health value on","Applying new Health value on","Applying new Health value on","应用新的健康值"
"VSTR_NOTIFY_APPLY_BLOOD","Applying new Blood value on","Applying new Blood value on","Applying new Blood value on","Applying new Blood value on","Установить значение Кровь на ","Applying new Blood value on","Applying new Blood value on","Applying new Blood value on","Applying new Blood value on","Application nouvelle valeur sang sur ","Applying new Blood value on","Applying new Blood value on","Applying new Blood value on","应用新的血液值"
"VSTR_NOTIFY_APPLY_SHOCK","Applying new Shock value on","Applying new Shock value on","Applying new Shock value on","Applying new Shock value on","Установить значение Шок на ","Applying new Shock value on","Applying new Shock value on","Applying new Shock value on","Applying new Shock value on","Application nouvelle valeur choc sur ","Applying new Shock value on","Applying new Shock value on","Applying new Shock value on","应用新的晕眩值"
